"slug","pokeapi_id","name","category","sprite_available","game_key"
"rarebone","106","Rare Bone","loot","true","rarebone"
"shinystone","107","Shiny Stone","evolution","true","shinystone"
"duskstone","108","Dusk Stone","evolution","true","duskstone"
"dawnstone","109","Dawn Stone","evolution","true","dawnstone"
"ovalstone","110","Oval Stone","evolution","true","ovalstone"
"oddkeystone","111","Odd Keystone","dex-completion","true","oddkeystone"
"adamantorb","112","Adamant Orb","species-specific","true","adamantorb"
"lustrousorb","113","Lustrous Orb","species-specific","true","lustrousorb"
"grassmail","114","Grass Mail","all-mail","true","grassmail"
"flamemail","115","Flame Mail","all-mail","true","flamemail"
"bubblemail","116","Bubble Mail","all-mail","true","bubblemail"
"bloommail","117","Bloom Mail","all-mail","true","bloommail"
"tunnelmail","118","Tunnel Mail","all-mail","true","tunnelmail"
"steelmail","119","Steel Mail","all-mail","true","steelmail"
"heartmail","120","Heart Mail","all-mail","true","heartmail"
"snowmail","121","Snow Mail","all-mail","true","snowmail"
"spacemail","122","Space Mail","all-mail","true","spacemail"
"airmail","123","Air Mail","all-mail","true","airmail"
"mosaicmail","124","Mosaic Mail","all-mail","true","mosaicmail"
"brickmail","125","Brick Mail","all-mail","true","brickmail"
"cheriberry","126","Cheri Berry","medicine","true","cheriberry"
"chestoberry","127","Chesto Berry","medicine","true","chestoberry"
"pechaberry","128","Pecha Berry","medicine","true","pechaberry"
"rawstberry","129","Rawst Berry","medicine","true","rawstberry"
"aspearberry","130","Aspear Berry","medicine","true","aspearberry"
"leppaberry","131","Leppa Berry","medicine","true","leppaberry"
"oranberry","132","Oran Berry","medicine","true","oranberry"
"persimberry","133","Persim Berry","medicine","true","persimberry"
"lumberry","134","Lum Berry","medicine","true","lumberry"
"sitrusberry","135","Sitrus Berry","medicine","true","sitrusberry"
"figyberry","136","Figy Berry","picky-healing","true","figyberry"
"wikiberry","137","Wiki Berry","picky-healing","true","wikiberry"
"magoberry","138","Mago Berry","picky-healing","true","magoberry"
"aguavberry","139","Aguav Berry","picky-healing","true","aguavberry"
"iapapaberry","140","Iapapa Berry","picky-healing","true","iapapaberry"
"razzberry","141","Razz Berry","baking-only","true","razzberry"
"blukberry","142","Bluk Berry","baking-only","true","blukberry"
"nanabberry","143","Nanab Berry","baking-only","true","nanabberry"
"wepearberry","144","Wepear Berry","baking-only","true","wepearberry"
"pinapberry","145","Pinap Berry","baking-only","true","pinapberry"
"pomegberry","146","Pomeg Berry","effort-drop","true","pomegberry"
"kelpsyberry","147","Kelpsy Berry","effort-drop","true","kelpsyberry"
"qualotberry","148","Qualot Berry","effort-drop","true","qualotberry"
"hondewberry","149","Hondew Berry","effort-drop","true","hondewberry"
"grepaberry","150","Grepa Berry","effort-drop","true","grepaberry"
"tamatoberry","151","Tamato Berry","effort-drop","true","tamatoberry"
"cornnberry","152","Cornn Berry","baking-only","true","cornnberry"
"magostberry","153","Magost Berry","baking-only","true","magostberry"
"rabutaberry","154","Rabuta Berry","baking-only","true","rabutaberry"
"nomelberry","155","Nomel Berry","baking-only","true","nomelberry"
"spelonberry","156","Spelon Berry","baking-only","true","spelonberry"
"pamtreberry","157","Pamtre Berry","baking-only","true","pamtreberry"
"watmelberry","158","Watmel Berry","baking-only","true","watmelberry"
"durinberry","159","Durin Berry","baking-only","true","durinberry"
"belueberry","160","Belue Berry","baking-only","true","belueberry"
"occaberry","161","Occa Berry","type-protection","true","occaberry"
"passhoberry","162","Passho Berry","type-protection","true","passhoberry"
"wacanberry","163","Wacan Berry","type-protection","true","wacanberry"
"rindoberry","164","Rindo Berry","type-protection","true","rindoberry"
"yacheberry","165","Yache Berry","type-protection","true","yacheberry"
"chopleberry","166","Chople Berry","type-protection","true","chopleberry"
"kebiaberry","167","Kebia Berry","type-protection","true","kebiaberry"
"shucaberry","168","Shuca Berry","type-protection","true","shucaberry"
"cobaberry","169","Coba Berry","type-protection","true","cobaberry"
"payapaberry","170","Payapa Berry","type-protection","true","payapaberry"
"tangaberry","171","Tanga Berry","type-protection","true","tangaberry"
"chartiberry","172","Charti Berry","type-protection","true","chartiberry"
"kasibberry","173","Kasib Berry","type-protection","true","kasibberry"
"habanberry","174","Haban Berry","type-protection","true","habanberry"
"colburberry","175","Colbur Berry","type-protection","true","colburberry"
"babiriberry","176","Babiri Berry","type-protection","true","babiriberry"
"chilanberry","177","Chilan Berry","type-protection","true","chilanberry"
"liechiberry","178","Liechi Berry","in-a-pinch","true","liechiberry"
"ganlonberry","179","Ganlon Berry","in-a-pinch","true","ganlonberry"
"salacberry","180","Salac Berry","in-a-pinch","true","salacberry"
"petayaberry","181","Petaya Berry","in-a-pinch","true","petayaberry"
"apicotberry","182","Apicot Berry","in-a-pinch","true","apicotberry"
"lansatberry","183","Lansat Berry","in-a-pinch","true","lansatberry"
"starfberry","184","Starf Berry","in-a-pinch","true","starfberry"
"enigmaberry","185","Enigma Berry","other","true","enigmaberry"
"micleberry","186","Micle Berry","in-a-pinch","true","micleberry"
"custapberry","187","Custap Berry","in-a-pinch","true","custapberry"
"jabocaberry","188","Jaboca Berry","other","true","jabocaberry"
"rowapberry","189","Rowap Berry","other","true","rowapberry"
"brightpowder","190","Bright Powder","held-items","true","brightpowder"
"whiteherb","191","White Herb","held-items","true","whiteherb"
"machobrace","192","Macho Brace","effort-training","true","machobrace"
"expshare","193","Exp. Share","training","true","expshare"
"quickclaw","194","Quick Claw","held-items","true","quickclaw"
"soothebell","195","Soothe Bell","training","true","soothebell"
"mentalherb","196","Mental Herb","held-items","true","mentalherb"
"choiceband","197","Choice Band","choice","true","choiceband"
"kingsrock","198","King’s Rock","held-items","true","kingsrock"
"silverpowder","199","Silver Powder","type-enhancement","true","silverpowder"
"amuletcoin","200","Amulet Coin","training","true","amuletcoin"
"cleansetag","201","Cleanse Tag","training","true","cleansetag"
"souldew","202","Soul Dew","species-specific","true","souldew"
"deepseatooth","203","Deep Sea Tooth","species-specific","true","deepseatooth"
"deepseascale","204","Deep Sea Scale","species-specific","true","deepseascale"
"smokeball","205","Smoke Ball","held-items","true","smokeball"
"everstone","206","Everstone","training","true","everstone"
"focusband","207","Focus Band","held-items","true","focusband"
"luckyegg","208","Lucky Egg","training","true","luckyegg"
"scopelens","209","Scope Lens","held-items","true","scopelens"
"metalcoat","210","Metal Coat","type-enhancement","true","metalcoat"
"leftovers","211","Leftovers","held-items","true","leftovers"
"dragonscale","212","Dragon Scale","evolution","true","dragonscale"
"lightball","213","Light Ball","species-specific","true","lightball"
"softsand","214","Soft Sand","type-enhancement","true","softsand"
"hardstone","215","Hard Stone","type-enhancement","true","hardstone"
"miracleseed","216","Miracle Seed","type-enhancement","true","miracleseed"
"blackglasses","217","Black Glasses","type-enhancement","true","blackglasses"
"blackbelt","218","Black Belt","type-enhancement","true","blackbelt"
"magnet","219","Magnet","type-enhancement","true","magnet"
"mysticwater","220","Mystic Water","type-enhancement","true","mysticwater"
"sharpbeak","221","Sharp Beak","type-enhancement","true","sharpbeak"
"poisonbarb","222","Poison Barb","type-enhancement","true","poisonbarb"
"nevermeltice","223","Never-Melt Ice","type-enhancement","true","nevermeltice"
"spelltag","224","Spell Tag","type-enhancement","true","spelltag"
"twistedspoon","225","Twisted Spoon","type-enhancement","true","twistedspoon"
"charcoal","226","Charcoal","type-enhancement","true","charcoal"
"dragonfang","227","Dragon Fang","type-enhancement","true","dragonfang"
"silkscarf","228","Silk Scarf","type-enhancement","true","silkscarf"
"upgrade","229","Upgrade","evolution","true","upgrade"
"shellbell","230","Shell Bell","held-items","true","shellbell"
"seaincense","231","Sea Incense","type-enhancement","true","seaincense"
"laxincense","232","Lax Incense","held-items","true","laxincense"
"luckypunch","233","Lucky Punch","species-specific","true","luckypunch"
"metalpowder","234","Metal Powder","species-specific","true","metalpowder"
"thickclub","235","Thick Club","species-specific","true","thickclub"
"stick","236","Leek","species-specific","true","stick"
"redscarf","237","Red Scarf","scarves","true","redscarf"
"bluescarf","238","Blue Scarf","scarves","true","bluescarf"
"pinkscarf","239","Pink Scarf","scarves","true","pinkscarf"
"greenscarf","240","Green Scarf","scarves","true","greenscarf"
"yellowscarf","241","Yellow Scarf","scarves","true","yellowscarf"
"widelens","242","Wide Lens","held-items","true","widelens"
"muscleband","243","Muscle Band","held-items","true","muscleband"
"wiseglasses","244","Wise Glasses","held-items","true","wiseglasses"
"expertbelt","245","Expert Belt","held-items","true","expertbelt"
"lightclay","246","Light Clay","held-items","true","lightclay"
"lifeorb","247","Life Orb","held-items","true","lifeorb"
"powerherb","248","Power Herb","held-items","true","powerherb"
"toxicorb","249","Toxic Orb","bad-held-items","true","toxicorb"
"flameorb","250","Flame Orb","bad-held-items","true","flameorb"
"quickpowder","251","Quick Powder","species-specific","true","quickpowder"
"focussash","252","Focus Sash","held-items","true","focussash"
"zoomlens","253","Zoom Lens","held-items","true","zoomlens"
"metronome","254","Metronome","held-items","true","metronome"
"ironball","255","Iron Ball","bad-held-items","true","ironball"
"laggingtail","256","Lagging Tail","bad-held-items","true","laggingtail"
"destinyknot","257","Destiny Knot","held-items","true","destinyknot"
"blacksludge","258","Black Sludge","held-items","true","blacksludge"
"icyrock","259","Icy Rock","held-items","true","icyrock"
"smoothrock","260","Smooth Rock","held-items","true","smoothrock"
"heatrock","261","Heat Rock","held-items","true","heatrock"
"damprock","262","Damp Rock","held-items","true","damprock"
"gripclaw","263","Grip Claw","held-items","true","gripclaw"
"choicescarf","264","Choice Scarf","choice","true","choicescarf"
"stickybarb","265","Sticky Barb","bad-held-items","true","stickybarb"
"powerbracer","266","Power Bracer","effort-training","true","powerbracer"
"powerbelt","267","Power Belt","effort-training","true","powerbelt"
"powerlens","268","Power Lens","effort-training","true","powerlens"
"powerband","269","Power Band","effort-training","true","powerband"
"poweranklet","270","Power Anklet","effort-training","true","poweranklet"
"powerweight","271","Power Weight","effort-training","true","powerweight"
"shedshell","272","Shed Shell","held-items","true","shedshell"
"bigroot","273","Big Root","held-items","true","bigroot"
"choicespecs","274","Choice Specs","choice","true","choicespecs"
"flameplate","275","Flame Plate","plates","true","flameplate"
"splashplate","276","Splash Plate","plates","true","splashplate"
"zapplate","277","Zap Plate","plates","true","zapplate"
"meadowplate","278","Meadow Plate","plates","true","meadowplate"
"icicleplate","279","Icicle Plate","plates","true","icicleplate"
"fistplate","280","Fist Plate","plates","true","fistplate"
"toxicplate","281","Toxic Plate","plates","true","toxicplate"
"earthplate","282","Earth Plate","plates","true","earthplate"
"skyplate","283","Sky Plate","plates","true","skyplate"
"mindplate","284","Mind Plate","plates","true","mindplate"
"insectplate","285","Insect Plate","plates","true","insectplate"
"stoneplate","286","Stone Plate","plates","true","stoneplate"
"spookyplate","287","Spooky Plate","plates","true","spookyplate"
"dracoplate","288","Draco Plate","plates","true","dracoplate"
"dreadplate","289","Dread Plate","plates","true","dreadplate"
"ironplate","290","Iron Plate","plates","true","ironplate"
"oddincense","291","Odd Incense","type-enhancement","true","oddincense"
"rockincense","292","Rock Incense","type-enhancement","true","rockincense"
"fullincense","293","Full Incense","bad-held-items","true","fullincense"
"waveincense","294","Wave Incense","type-enhancement","true","waveincense"
"roseincense","295","Rose Incense","type-enhancement","true","roseincense"
"luckincense","296","Luck Incense","training","true","luckincense"
"pureincense","297","Pure Incense","training","true","pureincense"
"protector","298","Protector","evolution","true","protector"
"electirizer","299","Electirizer","evolution","true","electirizer"
"magmarizer","300","Magmarizer","evolution","true","magmarizer"
"dubiousdisc","301","Dubious Disc","evolution","true","dubiousdisc"
"reapercloth","302","Reaper Cloth","evolution","true","reapercloth"
"razorclaw","303","Razor Claw","held-items","true","razorclaw"
"razorfang","304","Razor Fang","held-items","true","razorfang"
"tm01","305","TM01","all-machines","true","tm01"
"tm02","306","TM02","all-machines","true","tm02"
"tm03","307","TM03","all-machines","true","tm03"
"tm04","308","TM04","all-machines","true","tm04"
"tm05","309","TM05","all-machines","true","tm05"
"tm06","310","TM06","all-machines","true","tm06"
"tm07","311","TM07","all-machines","true","tm07"
"tm08","312","TM08","all-machines","true","tm08"
"tm09","313","TM09","all-machines","true","tm09"
"tm10","314","TM10","all-machines","true","tm10"
"tm11","315","TM11","all-machines","true","tm11"
"tm12","316","TM12","all-machines","true","tm12"
"tm13","317","TM13","all-machines","true","tm13"
"tm14","318","TM14","all-machines","true","tm14"
"tm15","319","TM15","all-machines","true","tm15"
"tm16","320","TM16","all-machines","true","tm16"
"tm17","321","TM17","all-machines","true","tm17"
"tm18","322","TM18","all-machines","true","tm18"
"tm19","323","TM19","all-machines","true","tm19"
"tm20","324","TM20","all-machines","true","tm20"
"tm21","325","TM21","all-machines","true","tm21"
"tm22","326","TM22","all-machines","true","tm22"
"tm23","327","TM23","all-machines","true","tm23"
"tm24","328","TM24","all-machines","true","tm24"
"tm25","329","TM25","all-machines","true","tm25"
"tm26","330","TM26","all-machines","true","tm26"
"tm27","331","TM27","all-machines","true","tm27"
"tm28","332","TM28","all-machines","true","tm28"
"tm29","333","TM29","all-machines","true","tm29"
"tm30","334","TM30","all-machines","true","tm30"
"tm31","335","TM31","all-machines","true","tm31"
"tm32","336","TM32","all-machines","true","tm32"
"tm33","337","TM33","all-machines","true","tm33"
"tm34","338","TM34","all-machines","true","tm34"
"tm35","339","TM35","all-machines","true","tm35"
"tm36","340","TM36","all-machines","true","tm36"
"tm37","341","TM37","all-machines","true","tm37"
"tm38","342","TM38","all-machines","true","tm38"
"tm39","343","TM39","all-machines","true","tm39"
"tm40","344","TM40","all-machines","true","tm40"
"tm41","345","TM41","all-machines","true","tm41"
"tm42","346","TM42","all-machines","true","tm42"
"tm43","347","TM43","all-machines","true","tm43"
"tm44","348","TM44","all-machines","true","tm44"
"tm45","349","TM45","all-machines","true","tm45"
"tm46","350","TM46","all-machines","true","tm46"
"tm47","351","TM47","all-machines","true","tm47"
"tm48","352","TM48","all-machines","true","tm48"
"tm49","353","TM49","all-machines","true","tm49"
"tm50","354","TM50","all-machines","true","tm50"
"tm51","355","TM51","all-machines","true","tm51"
"tm52","356","TM52","all-machines","true","tm52"
"tm53","357","TM53","all-machines","true","tm53"
"tm54","358","TM54","all-machines","true","tm54"
"tm55","359","TM55","all-machines","true","tm55"
"tm56","360","TM56","all-machines","true","tm56"
"tm57","361","TM57","all-machines","true","tm57"
"tm58","362","TM58","all-machines","true","tm58"
"tm59","363","TM59","all-machines","true","tm59"
"tm60","364","TM60","all-machines","true","tm60"
"tm61","365","TM61","all-machines","true","tm61"
"tm62","366","TM62","all-machines","true","tm62"
"tm63","367","TM63","all-machines","true","tm63"
"tm64","368","TM64","all-machines","true","tm64"
"tm65","369","TM65","all-machines","true","tm65"
"tm66","370","TM66","all-machines","true","tm66"
"tm67","371","TM67","all-machines","true","tm67"
"tm68","372","TM68","all-machines","true","tm68"
"tm69","373","TM69","all-machines","true","tm69"
"tm70","374","TM70","all-machines","true","tm70"
"tm71","375","TM71","all-machines","true","tm71"
"tm72","376","TM72","all-machines","true","tm72"
"tm73","377","TM73","all-machines","true","tm73"
"tm74","378","TM74","all-machines","true","tm74"
"tm75","379","TM75","all-machines","true","tm75"
"tm76","380","TM76","all-machines","true","tm76"
"tm77","381","TM77","all-machines","true","tm77"
"tm78","382","TM78","all-machines","true","tm78"
"tm79","383","TM79","all-machines","true","tm79"
"tm80","384","TM80","all-machines","true","tm80"
"tm81","385","TM81","all-machines","true","tm81"
"tm82","386","TM82","all-machines","true","tm82"
"tm83","387","TM83","all-machines","true","tm83"
"tm84","388","TM84","all-machines","true","tm84"
"tm85","389","TM85","all-machines","true","tm85"
"tm86","390","TM86","all-machines","true","tm86"
"tm87","391","TM87","all-machines","true","tm87"
"tm88","392","TM88","all-machines","true","tm88"
"tm89","393","TM89","all-machines","true","tm89"
"tm90","394","TM90","all-machines","true","tm90"
"tm91","395","TM91","all-machines","true","tm91"
"tm92","396","TM92","all-machines","true","tm92"
"hm01","397","HM01","all-machines","true","hm01"
"hm02","398","HM02","all-machines","true","hm02"
"hm03","399","HM03","all-machines","true","hm03"
"hm04","400","HM04","all-machines","true","hm04"
"hm05","401","HM05","all-machines","true","hm05"
"hm06","402","HM06","all-machines","true","hm06"
"hm07","403","HM07","all-machines","true","hm07"
"hm08","404","HM08","all-machines","true","hm08"
"explorerkit","405","Explorer Kit","gameplay","true","explorerkit"
"lootsack","406","Loot Sack","unused","true","lootsack"
"rulebook","407","Rule Book","unused","true","rulebook"
"pokeradar","408","Poké Radar","gameplay","true","pokeradar"
"pointcard","409","Point Card","gameplay","true","pointcard"
"journal","410","Journal","gameplay","true","journal"
"sealcase","411","Seal Case","gameplay","true","sealcase"
"fashioncase","412","Fashion Case","gameplay","true","fashioncase"
"sealbag","413","Seal Bag","unused","true","sealbag"
"palpad","414","Pal Pad","gameplay","true","palpad"
"workskey","415","Works Key","plot-advancement","true","workskey"
"oldcharm","416","Old Charm","plot-advancement","true","oldcharm"
"galactickey","417","Galactic Key","plot-advancement","true","galactickey"
"redchain","418","Red Chain","unused","true","redchain"
"townmap","419","Town Map","gameplay","true","townmap"
"vsseeker","420","Vs. Seeker","gameplay","true","vsseeker"
"coincase","421","Coin Case","gameplay","true","coincase"
"oldrod","422","Old Rod","gameplay","true","oldrod"
"goodrod","423","Good Rod","gameplay","true","goodrod"
"superrod","424","Super Rod","gameplay","true","superrod"
"sprayduck","425","Sprayduck","gameplay","true","sprayduck"
"poffincase","426","Poffin Case","gameplay","true","poffincase"
"bicycle","427","Bicycle","gameplay","true","bicycle"
"suitekey","428","Suite Key","event-items","true","suitekey"
"oaksletter","429","Oak’s Letter","event-items","true","oaksletter"
"lunarwing","430","Lunar Wing","event-items","true","lunarwing"
"membercard","431","Member Card","event-items","true","membercard"
"azureflute","432","Azure Flute","event-items","true","azureflute"
"ssticket","433","S.S. Ticket","plot-advancement","true","ssticket"
"contestpass","434","Contest Pass","gameplay","true","contestpass"
"magmastone","435","Magma Stone","plot-advancement","true","magmastone"
"parcel","436","Parcel","plot-advancement","true","parcel"
"coupon1","437","Coupon 1","plot-advancement","true","coupon1"
"coupon2","438","Coupon 2","plot-advancement","true","coupon2"
"coupon3","439","Coupon 3","plot-advancement","true","coupon3"
"storagekey","440","Storage Key","plot-advancement","true","storagekey"
"secretpotion","441","Secret Potion","plot-advancement","true","secretpotion"
"griseousorb","442","Griseous Orb","species-specific","true","griseousorb"
"vsrecorder","443","Vs. Recorder","gameplay","true","vsrecorder"
"gracidea","444","Gracidea","event-items","true","gracidea"
"secretkey","445","Secret Key","event-items","true","secretkey"
"apricornbox","446","Apricorn Box","gameplay","true","apricornbox"
"berrypots","447","Berry Pots","gameplay","true","berrypots"
"squirtbottle","448","Squirt Bottle","plot-advancement","true","squirtbottle"
"lureball","449","Lure Ball","apricorn-balls","true","lureball"
"levelball","450","Level Ball","apricorn-balls","true","levelball"
"moonball","451","Moon Ball","apricorn-balls","true","moonball"
"heavyball","452","Heavy Ball","apricorn-balls","true","heavyball"
"fastball","453","Fast Ball","apricorn-balls","true","fastball"
"friendball","454","Friend Ball","apricorn-balls","true","friendball"
"loveball","455","Love Ball","apricorn-balls","true","loveball"
"parkball","456","Park Ball","standard-balls","true","parkball"
"sportball","457","Sport Ball","standard-balls","true","sportball"
"redapricorn","458","Red Apricorn","apricorn-box","true","redapricorn"
"blueapricorn","459","Blue Apricorn","apricorn-box","true","blueapricorn"
"yellowapricorn","460","Yellow Apricorn","apricorn-box","true","yellowapricorn"
"greenapricorn","461","Green Apricorn","apricorn-box","true","greenapricorn"
"pinkapricorn","462","Pink Apricorn","apricorn-box","true","pinkapricorn"
"whiteapricorn","463","White Apricorn","apricorn-box","true","whiteapricorn"
"blackapricorn","464","Black Apricorn","apricorn-box","true","blackapricorn"
"dowsingmachine","465","Dowsing Machine","gameplay","true","dowsingmachine"
"ragecandybar","466","Rage Candy Bar","gameplay","true","ragecandybar"
"redorb","467","Red Orb","plot-advancement","true","redorb"
"blueorb","468","Blue Orb","plot-advancement","true","blueorb"
"jadeorb","469","Jade Orb","plot-advancement","true","jadeorb"
"enigmastone","470","Enigma Stone","event-items","true","enigmastone"
"unownreport","471","Unown Report","gameplay","true","unownreport"
"bluecard","472","Blue Card","gameplay","true","bluecard"
"slowpoketail","473","Slowpoke Tail","unused","true","slowpoketail"
"clearbell","474","Clear Bell","plot-advancement","true","clearbell"
"cardkey","475","Card Key","plot-advancement","true","cardkey"
"basementkey","476","Basement Key","plot-advancement","true","basementkey"
"redscale","477","Red Scale","plot-advancement","true","redscale"
"lostitem","478","Lost Item","plot-advancement","true","lostitem"
"pass","479","Pass","plot-advancement","true","pass"
"machinepart","480","Machine Part","plot-advancement","true","machinepart"
"silverwing","481","Silver Wing","plot-advancement","true","silverwing"
"rainbowwing","482","Rainbow Wing","plot-advancement","true","rainbowwing"
"mysteryegg","483","Mystery Egg","plot-advancement","true","mysteryegg"
"gbsounds","484","GB Sounds","gameplay","true","gbsounds"
"tidalbell","485","Tidal Bell","plot-advancement","true","tidalbell"
"datacard01","486","Data Card 01","data-cards","true","datacard01"
"datacard02","487","Data Card 02","data-cards","true","datacard02"
"datacard03","488","Data Card 03","data-cards","true","datacard03"
"datacard04","489","Data Card 04","data-cards","true","datacard04"
"datacard05","490","Data Card 05","data-cards","true","datacard05"
"datacard06","491","Data Card 06","data-cards","true","datacard06"
"datacard07","492","Data Card 07","data-cards","true","datacard07"
"datacard08","493","Data Card 08","data-cards","true","datacard08"
"datacard09","494","Data Card 09","data-cards","true","datacard09"
"datacard10","495","Data Card 10","data-cards","true","datacard10"
"datacard11","496","Data Card 11","data-cards","true","datacard11"
"datacard12","497","Data Card 12","data-cards","true","datacard12"
"datacard13","498","Data Card 13","data-cards","true","datacard13"
"datacard14","499","Data Card 14","data-cards","true","datacard14"
"datacard15","500","Data Card 15","data-cards","true","datacard15"
"datacard16","501","Data Card 16","data-cards","true","datacard16"
"datacard17","502","Data Card 17","data-cards","true","datacard17"
"datacard18","503","Data Card 18","data-cards","true","datacard18"
