NationalDex,Species,PokemonFormId,Form,AssetFrontNormal,AssetFrontShiny,AssetBackNormal,AssetBackShiny,AssetFemale,DatabaseKnown,ResolverSupported,AdminTargetable,EventTargetable,NormalEncounterEnabled,SpecialEncounterEnabled,PlayerObtainable,PokedexRequired,Classification,Notes
31,nidoqueen,31,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
32,nidoran-m,32,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
33,nidorino,33,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
34,nidoking,34,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
35,clefairy,35,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
36,clefable,36,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
36,clefable,10278,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
37,vulpix,37,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
37,vulpix,10103,Alolan,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alolan enabled_in_play=false
38,ninetales,38,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
38,ninetales,10104,Alolan,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alolan enabled_in_play=false
39,jigglypuff,39,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
40,wigglytuff,40,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
41,zubat,41,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
42,golbat,42,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
43,oddish,43,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
44,gloom,44,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
45,vileplume,45,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
46,paras,46,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
47,parasect,47,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
48,venonat,48,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
49,venomoth,49,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
50,diglett,50,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
50,diglett,10105,Alolan,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alolan enabled_in_play=false
51,dugtrio,51,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
51,dugtrio,10106,Alolan,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alolan enabled_in_play=false
52,meowth,52,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
52,meowth,10107,Alolan,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alolan enabled_in_play=false
52,meowth,10161,Galarian,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=galarian enabled_in_play=false
52,meowth,10200,Gigantamax,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=gigantamax enabled_in_play=false
53,persian,53,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
53,persian,10108,Alolan,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alolan enabled_in_play=false
54,psyduck,54,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
55,golduck,55,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
56,mankey,56,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
57,primeape,57,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
58,growlithe,58,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
58,growlithe,10229,Hisuian,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
59,arcanine,59,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
59,arcanine,10230,Hisuian,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
60,poliwag,60,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
61,poliwhirl,61,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
62,poliwrath,62,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
63,abra,63,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
64,kadabra,64,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
65,alakazam,65,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
65,alakazam,10037,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
66,machop,66,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
67,machoke,67,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
68,machamp,68,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
68,machamp,10201,Gigantamax,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=gigantamax enabled_in_play=false
69,bellsprout,69,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
70,weepinbell,70,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
71,victreebel,71,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
71,victreebel,10279,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
72,tentacool,72,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
73,tentacruel,73,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
74,geodude,74,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
74,geodude,10109,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
75,graveler,75,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
75,graveler,10110,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
76,golem,76,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
76,golem,10111,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
77,ponyta,77,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
77,ponyta,10162,Galarian,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=galarian enabled_in_play=false
78,rapidash,78,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
78,rapidash,10163,Galarian,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=galarian enabled_in_play=false
79,slowpoke,79,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
79,slowpoke,10164,Galarian,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=galarian enabled_in_play=false
80,slowbro,80,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
80,slowbro,10071,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
80,slowbro,10165,Galarian,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=galarian enabled_in_play=false
81,magnemite,81,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
82,magneton,82,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
83,farfetchd,83,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
83,farfetchd,10166,Galarian,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=galarian enabled_in_play=false
84,doduo,84,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
85,dodrio,85,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
86,seel,86,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
87,dewgong,87,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
88,grimer,88,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
88,grimer,10112,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
89,muk,89,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
89,muk,10113,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
90,shellder,90,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
91,cloyster,91,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
92,gastly,92,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
93,haunter,93,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
94,gengar,94,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
