dex,species,family_id,family_candy_species_id,line_members,candy_key,candy_display_species,candy_display_name,candy_sprite,expected_line,valid
12,Butterfree,10,10,10:Caterpie;11:Metapod;12:Butterfree,species-10,Caterpie,Caterpie Evolution Candy,images/pokemon/10.gif,10:Caterpie;11:Metapod;12:Butterfree,true
13,Weedle,13,13,13:Weedle;14:Kakuna;15:Beedrill,species-13,Weedle,Weedle Evolution Candy,images/pokemon/13.gif,13:Weedle;14:Kakuna;15:Beedrill,true
14,Kakuna,13,13,13:Weedle;14:Kakuna;15:Beedrill,species-13,Weedle,Weedle Evolution Candy,images/pokemon/13.gif,13:Weedle;14:Kakuna;15:Beedrill,true
15,Beedrill,13,13,13:Weedle;14:Kakuna;15:Beedrill,species-13,Weedle,Weedle Evolution Candy,images/pokemon/13.gif,13:Weedle;14:Kakuna;15:Beedrill,true
16,Pidgey,16,16,16:Pidgey;17:Pidgeotto;18:Pidgeot,species-16,Pidgey,Pidgey Evolution Candy,images/pokemon/16.gif,16:Pidgey;17:Pidgeotto;18:Pidgeot,true
17,Pidgeotto,16,16,16:Pidgey;17:Pidgeotto;18:Pidgeot,species-16,Pidgey,Pidgey Evolution Candy,images/pokemon/16.gif,16:Pidgey;17:Pidgeotto;18:Pidgeot,true
18,Pidgeot,16,16,16:Pidgey;17:Pidgeotto;18:Pidgeot,species-16,Pidgey,Pidgey Evolution Candy,images/pokemon/16.gif,16:Pidgey;17:Pidgeotto;18:Pidgeot,true
19,Rattata,19,19,19:Rattata;20:Raticate,species-19,Rattata,Rattata Evolution Candy,images/pokemon/19.gif,19:Rattata;20:Raticate,true
20,Raticate,19,19,19:Rattata;20:Raticate,species-19,Rattata,Rattata Evolution Candy,images/pokemon/19.gif,19:Rattata;20:Raticate,true
21,Spearow,21,21,21:Spearow;22:Fearow,species-21,Spearow,Spearow Evolution Candy,images/pokemon/21.gif,21:Spearow;22:Fearow,true
22,Fearow,21,21,21:Spearow;22:Fearow,species-21,Spearow,Spearow Evolution Candy,images/pokemon/21.gif,21:Spearow;22:Fearow,true
23,Ekans,23,23,23:Ekans;24:Arbok,species-23,Ekans,Ekans Evolution Candy,images/pokemon/23.gif,23:Ekans;24:Arbok,true
24,Arbok,23,23,23:Ekans;24:Arbok,species-23,Ekans,Ekans Evolution Candy,images/pokemon/23.gif,23:Ekans;24:Arbok,true
25,Pikachu,25,25,25:Pikachu;26:Raichu,species-25,Pikachu,Pikachu Evolution Candy,images/pokemon/25.gif,25:Pikachu;26:Raichu,true
26,Raichu,25,25,25:Pikachu;26:Raichu,species-25,Pikachu,Pikachu Evolution Candy,images/pokemon/25.gif,25:Pikachu;26:Raichu,true
27,Sandshrew,27,27,27:Sandshrew;28:Sandslash,species-27,Sandshrew,Sandshrew Evolution Candy,images/pokemon/27.gif,27:Sandshrew;28:Sandslash,true
28,Sandslash,27,27,27:Sandshrew;28:Sandslash,species-27,Sandshrew,Sandshrew Evolution Candy,images/pokemon/27.gif,27:Sandshrew;28:Sandslash,true
29,Nidoran♀,29,29,29:Nidoran♀;30:Nidorina;31:Nidoqueen,species-29,Nidoran♀,Nidoran♀ Evolution Candy,images/pokemon/29.gif,29:Nidoran♀;30:Nidorina;31:Nidoqueen,true
30,Nidorina,29,29,29:Nidoran♀;30:Nidorina;31:Nidoqueen,species-29,Nidoran♀,Nidoran♀ Evolution Candy,images/pokemon/29.gif,29:Nidoran♀;30:Nidorina;31:Nidoqueen,true
31,Nidoqueen,29,29,29:Nidoran♀;30:Nidorina;31:Nidoqueen,species-29,Nidoran♀,Nidoran♀ Evolution Candy,images/pokemon/29.gif,29:Nidoran♀;30:Nidorina;31:Nidoqueen,true
32,Nidoran♂,32,32,32:Nidoran♂;33:Nidorino;34:Nidoking,species-32,Nidoran♂,Nidoran♂ Evolution Candy,images/pokemon/32.gif,32:Nidoran♂;33:Nidorino;34:Nidoking,true
33,Nidorino,32,32,32:Nidoran♂;33:Nidorino;34:Nidoking,species-32,Nidoran♂,Nidoran♂ Evolution Candy,images/pokemon/32.gif,32:Nidoran♂;33:Nidorino;34:Nidoking,true
34,Nidoking,32,32,32:Nidoran♂;33:Nidorino;34:Nidoking,species-32,Nidoran♂,Nidoran♂ Evolution Candy,images/pokemon/32.gif,32:Nidoran♂;33:Nidorino;34:Nidoking,true
35,Clefairy,35,35,35:Clefairy;36:Clefable,species-35,Clefairy,Clefairy Evolution Candy,images/pokemon/35.gif,35:Clefairy;36:Clefable,true
36,Clefable,35,35,35:Clefairy;36:Clefable,species-35,Clefairy,Clefairy Evolution Candy,images/pokemon/35.gif,35:Clefairy;36:Clefable,true
37,Vulpix,37,37,37:Vulpix;38:Ninetales,species-37,Vulpix,Vulpix Evolution Candy,images/pokemon/37.gif,37:Vulpix;38:Ninetales,true
38,Ninetales,37,37,37:Vulpix;38:Ninetales,species-37,Vulpix,Vulpix Evolution Candy,images/pokemon/37.gif,37:Vulpix;38:Ninetales,true
39,Jigglypuff,39,39,39:Jigglypuff;40:Wigglytuff,species-39,Jigglypuff,Jigglypuff Evolution Candy,images/pokemon/39.gif,39:Jigglypuff;40:Wigglytuff,true
40,Wigglytuff,39,39,39:Jigglypuff;40:Wigglytuff,species-39,Jigglypuff,Jigglypuff Evolution Candy,images/pokemon/39.gif,39:Jigglypuff;40:Wigglytuff,true
41,Zubat,41,41,41:Zubat;42:Golbat,species-41,Zubat,Zubat Evolution Candy,images/pokemon/41.gif,41:Zubat;42:Golbat,true
42,Golbat,41,41,41:Zubat;42:Golbat,species-41,Zubat,Zubat Evolution Candy,images/pokemon/41.gif,41:Zubat;42:Golbat,true
43,Oddish,43,43,43:Oddish;44:Gloom;45:Vileplume,species-43,Oddish,Oddish Evolution Candy,images/pokemon/43.gif,43:Oddish;44:Gloom;45:Vileplume,true
44,Gloom,43,43,43:Oddish;44:Gloom;45:Vileplume,species-43,Oddish,Oddish Evolution Candy,images/pokemon/43.gif,43:Oddish;44:Gloom;45:Vileplume,true
45,Vileplume,43,43,43:Oddish;44:Gloom;45:Vileplume,species-43,Oddish,Oddish Evolution Candy,images/pokemon/43.gif,43:Oddish;44:Gloom;45:Vileplume,true
46,Paras,46,46,46:Paras;47:Parasect,species-46,Paras,Paras Evolution Candy,images/pokemon/46.gif,46:Paras;47:Parasect,true
47,Parasect,46,46,46:Paras;47:Parasect,species-46,Paras,Paras Evolution Candy,images/pokemon/46.gif,46:Paras;47:Parasect,true
48,Venonat,48,48,48:Venonat;49:Venomoth,species-48,Venonat,Venonat Evolution Candy,images/pokemon/48.gif,48:Venonat;49:Venomoth,true
49,Venomoth,48,48,48:Venonat;49:Venomoth,species-48,Venonat,Venonat Evolution Candy,images/pokemon/48.gif,48:Venonat;49:Venomoth,true
50,Diglett,50,50,50:Diglett;51:Dugtrio,species-50,Diglett,Diglett Evolution Candy,images/pokemon/50.gif,50:Diglett;51:Dugtrio,true
51,Dugtrio,50,50,50:Diglett;51:Dugtrio,species-50,Diglett,Diglett Evolution Candy,images/pokemon/50.gif,50:Diglett;51:Dugtrio,true
52,Meowth,52,52,52:Meowth;53:Persian,species-52,Meowth,Meowth Evolution Candy,images/pokemon/52.gif,52:Meowth;53:Persian,true
53,Persian,52,52,52:Meowth;53:Persian,species-52,Meowth,Meowth Evolution Candy,images/pokemon/52.gif,52:Meowth;53:Persian,true
54,Psyduck,54,54,54:Psyduck;55:Golduck,species-54,Psyduck,Psyduck Evolution Candy,images/pokemon/54.gif,54:Psyduck;55:Golduck,true
55,Golduck,54,54,54:Psyduck;55:Golduck,species-54,Psyduck,Psyduck Evolution Candy,images/pokemon/54.gif,54:Psyduck;55:Golduck,true
56,Mankey,56,56,56:Mankey;57:Primeape,species-56,Mankey,Mankey Evolution Candy,images/pokemon/56.gif,56:Mankey;57:Primeape,true
57,Primeape,56,56,56:Mankey;57:Primeape,species-56,Mankey,Mankey Evolution Candy,images/pokemon/56.gif,56:Mankey;57:Primeape,true
58,Growlithe,58,58,58:Growlithe;59:Arcanine,species-58,Growlithe,Growlithe Evolution Candy,images/pokemon/58.gif,58:Growlithe;59:Arcanine,true
59,Arcanine,58,58,58:Growlithe;59:Arcanine,species-58,Growlithe,Growlithe Evolution Candy,images/pokemon/58.gif,58:Growlithe;59:Arcanine,true
60,Poliwag,60,60,60:Poliwag;61:Poliwhirl;62:Poliwrath,species-60,Poliwag,Poliwag Evolution Candy,images/pokemon/60.gif,60:Poliwag;61:Poliwhirl;62:Poliwrath,true
61,Poliwhirl,60,60,60:Poliwag;61:Poliwhirl;62:Poliwrath,species-60,Poliwag,Poliwag Evolution Candy,images/pokemon/60.gif,60:Poliwag;61:Poliwhirl;62:Poliwrath,true
62,Poliwrath,60,60,60:Poliwag;61:Poliwhirl;62:Poliwrath,species-60,Poliwag,Poliwag Evolution Candy,images/pokemon/60.gif,60:Poliwag;61:Poliwhirl;62:Poliwrath,true
63,Abra,63,63,63:Abra;64:Kadabra;65:Alakazam,species-63,Abra,Abra Evolution Candy,images/pokemon/63.gif,63:Abra;64:Kadabra;65:Alakazam,true
64,Kadabra,63,63,63:Abra;64:Kadabra;65:Alakazam,species-63,Abra,Abra Evolution Candy,images/pokemon/63.gif,63:Abra;64:Kadabra;65:Alakazam,true
65,Alakazam,63,63,63:Abra;64:Kadabra;65:Alakazam,species-63,Abra,Abra Evolution Candy,images/pokemon/63.gif,63:Abra;64:Kadabra;65:Alakazam,true
66,Machop,66,66,66:Machop;67:Machoke;68:Machamp,species-66,Machop,Machop Evolution Candy,images/pokemon/66.gif,66:Machop;67:Machoke;68:Machamp,true
67,Machoke,66,66,66:Machop;67:Machoke;68:Machamp,species-66,Machop,Machop Evolution Candy,images/pokemon/66.gif,66:Machop;67:Machoke;68:Machamp,true
68,Machamp,66,66,66:Machop;67:Machoke;68:Machamp,species-66,Machop,Machop Evolution Candy,images/pokemon/66.gif,66:Machop;67:Machoke;68:Machamp,true
69,Bellsprout,69,69,69:Bellsprout;70:Weepinbell;71:Victreebel,species-69,Bellsprout,Bellsprout Evolution Candy,images/pokemon/69.gif,69:Bellsprout;70:Weepinbell;71:Victreebel,true
70,Weepinbell,69,69,69:Bellsprout;70:Weepinbell;71:Victreebel,species-69,Bellsprout,Bellsprout Evolution Candy,images/pokemon/69.gif,69:Bellsprout;70:Weepinbell;71:Victreebel,true
71,Victreebel,69,69,69:Bellsprout;70:Weepinbell;71:Victreebel,species-69,Bellsprout,Bellsprout Evolution Candy,images/pokemon/69.gif,69:Bellsprout;70:Weepinbell;71:Victreebel,true
72,Tentacool,72,72,72:Tentacool;73:Tentacruel,species-72,Tentacool,Tentacool Evolution Candy,images/pokemon/72.gif,72:Tentacool;73:Tentacruel,true
73,Tentacruel,72,72,72:Tentacool;73:Tentacruel,species-72,Tentacool,Tentacool Evolution Candy,images/pokemon/72.gif,72:Tentacool;73:Tentacruel,true
74,Geodude,74,74,74:Geodude;75:Graveler;76:Golem,species-74,Geodude,Geodude Evolution Candy,images/pokemon/74.gif,74:Geodude;75:Graveler;76:Golem,true
75,Graveler,74,74,74:Geodude;75:Graveler;76:Golem,species-74,Geodude,Geodude Evolution Candy,images/pokemon/74.gif,74:Geodude;75:Graveler;76:Golem,true
76,Golem,74,74,74:Geodude;75:Graveler;76:Golem,species-74,Geodude,Geodude Evolution Candy,images/pokemon/74.gif,74:Geodude;75:Graveler;76:Golem,true
77,Ponyta,77,77,77:Ponyta;78:Rapidash,species-77,Ponyta,Ponyta Evolution Candy,images/pokemon/77.gif,77:Ponyta;78:Rapidash,true
78,Rapidash,77,77,77:Ponyta;78:Rapidash,species-77,Ponyta,Ponyta Evolution Candy,images/pokemon/77.gif,77:Ponyta;78:Rapidash,true
79,Slowpoke,79,79,79:Slowpoke;80:Slowbro,species-79,Slowpoke,Slowpoke Evolution Candy,images/pokemon/79.gif,79:Slowpoke;80:Slowbro,true
80,Slowbro,79,79,79:Slowpoke;80:Slowbro,species-79,Slowpoke,Slowpoke Evolution Candy,images/pokemon/79.gif,79:Slowpoke;80:Slowbro,true
81,Magnemite,81,81,81:Magnemite;82:Magneton,species-81,Magnemite,Magnemite Evolution Candy,images/pokemon/81.gif,81:Magnemite;82:Magneton,true
82,Magneton,81,81,81:Magnemite;82:Magneton,species-81,Magnemite,Magnemite Evolution Candy,images/pokemon/81.gif,81:Magnemite;82:Magneton,true
83,Farfetch'd,83,83,83:Farfetch'd,species-83,Farfetch'd,Farfetch'd Evolution Candy,images/pokemon/83.gif,83:Farfetch'd,true
84,Doduo,84,84,84:Doduo;85:Dodrio,species-84,Doduo,Doduo Evolution Candy,images/pokemon/84.gif,84:Doduo;85:Dodrio,true
85,Dodrio,84,84,84:Doduo;85:Dodrio,species-84,Doduo,Doduo Evolution Candy,images/pokemon/84.gif,84:Doduo;85:Dodrio,true
86,Seel,86,86,86:Seel;87:Dewgong,species-86,Seel,Seel Evolution Candy,images/pokemon/86.gif,86:Seel;87:Dewgong,true
87,Dewgong,86,86,86:Seel;87:Dewgong,species-86,Seel,Seel Evolution Candy,images/pokemon/86.gif,86:Seel;87:Dewgong,true
88,Grimer,88,88,88:Grimer;89:Muk,species-88,Grimer,Grimer Evolution Candy,images/pokemon/88.gif,88:Grimer;89:Muk,true
89,Muk,88,88,88:Grimer;89:Muk,species-88,Grimer,Grimer Evolution Candy,images/pokemon/88.gif,88:Grimer;89:Muk,true
90,Shellder,90,90,90:Shellder;91:Cloyster,species-90,Shellder,Shellder Evolution Candy,images/pokemon/90.gif,90:Shellder;91:Cloyster,true
91,Cloyster,90,90,90:Shellder;91:Cloyster,species-90,Shellder,Shellder Evolution Candy,images/pokemon/90.gif,90:Shellder;91:Cloyster,true
92,Gastly,92,92,92:Gastly;93:Haunter;94:Gengar,species-92,Gastly,Gastly Evolution Candy,images/pokemon/92.gif,92:Gastly;93:Haunter;94:Gengar,true
93,Haunter,92,92,92:Gastly;93:Haunter;94:Gengar,species-92,Gastly,Gastly Evolution Candy,images/pokemon/92.gif,92:Gastly;93:Haunter;94:Gengar,true
94,Gengar,92,92,92:Gastly;93:Haunter;94:Gengar,species-92,Gastly,Gastly Evolution Candy,images/pokemon/92.gif,92:Gastly;93:Haunter;94:Gengar,true
95,Onix,95,95,95:Onix,species-95,Onix,Onix Evolution Candy,images/pokemon/95.gif,95:Onix,true
96,Drowzee,96,96,96:Drowzee;97:Hypno,species-96,Drowzee,Drowzee Evolution Candy,images/pokemon/96.gif,96:Drowzee;97:Hypno,true
97,Hypno,96,96,96:Drowzee;97:Hypno,species-96,Drowzee,Drowzee Evolution Candy,images/pokemon/96.gif,96:Drowzee;97:Hypno,true
98,Krabby,98,98,98:Krabby;99:Kingler,species-98,Krabby,Krabby Evolution Candy,images/pokemon/98.gif,98:Krabby;99:Kingler,true
99,Kingler,98,98,98:Krabby;99:Kingler,species-98,Krabby,Krabby Evolution Candy,images/pokemon/98.gif,98:Krabby;99:Kingler,true
100,Voltorb,100,100,100:Voltorb;101:Electrode,species-100,Voltorb,Voltorb Evolution Candy,images/pokemon/100.gif,100:Voltorb;101:Electrode,true
101,Electrode,100,100,100:Voltorb;101:Electrode,species-100,Voltorb,Voltorb Evolution Candy,images/pokemon/100.gif,100:Voltorb;101:Electrode,true
102,Exeggcute,102,102,102:Exeggcute;103:Exeggutor,species-102,Exeggcute,Exeggcute Evolution Candy,images/pokemon/102.gif,102:Exeggcute;103:Exeggutor,true
103,Exeggutor,102,102,102:Exeggcute;103:Exeggutor,species-102,Exeggcute,Exeggcute Evolution Candy,images/pokemon/102.gif,102:Exeggcute;103:Exeggutor,true
104,Cubone,104,104,104:Cubone;105:Marowak,species-104,Cubone,Cubone Evolution Candy,images/pokemon/104.gif,104:Cubone;105:Marowak,true
105,Marowak,104,104,104:Cubone;105:Marowak,species-104,Cubone,Cubone Evolution Candy,images/pokemon/104.gif,104:Cubone;105:Marowak,true
106,Hitmonlee,106,106,106:Hitmonlee,species-106,Hitmonlee,Hitmonlee Evolution Candy,images/pokemon/106.gif,106:Hitmonlee,true
107,Hitmonchan,107,107,107:Hitmonchan,species-107,Hitmonchan,Hitmonchan Evolution Candy,images/pokemon/107.gif,107:Hitmonchan,true
108,Lickitung,108,108,108:Lickitung,species-108,Lickitung,Lickitung Evolution Candy,images/pokemon/108.gif,108:Lickitung,true
109,Koffing,109,109,109:Koffing;110:Weezing,species-109,Koffing,Koffing Evolution Candy,images/pokemon/109.gif,109:Koffing;110:Weezing,true
110,Weezing,109,109,109:Koffing;110:Weezing,species-109,Koffing,Koffing Evolution Candy,images/pokemon/109.gif,109:Koffing;110:Weezing,true
111,Rhyhorn,111,111,111:Rhyhorn;112:Rhydon,species-111,Rhyhorn,Rhyhorn Evolution Candy,images/pokemon/111.gif,111:Rhyhorn;112:Rhydon,true
112,Rhydon,111,111,111:Rhyhorn;112:Rhydon,species-111,Rhyhorn,Rhyhorn Evolution Candy,images/pokemon/111.gif,111:Rhyhorn;112:Rhydon,true
113,Chansey,113,113,113:Chansey,species-113,Chansey,Chansey Evolution Candy,images/pokemon/113.gif,113:Chansey,true
114,Tangela,114,114,114:Tangela,species-114,Tangela,Tangela Evolution Candy,images/pokemon/114.gif,114:Tangela,true
115,Kangaskhan,115,115,115:Kangaskhan,species-115,Kangaskhan,Kangaskhan Evolution Candy,images/pokemon/115.gif,115:Kangaskhan,true
116,Horsea,116,116,116:Horsea;117:Seadra,species-116,Horsea,Horsea Evolution Candy,images/pokemon/116.gif,116:Horsea;117:Seadra,true
117,Seadra,116,116,116:Horsea;117:Seadra,species-116,Horsea,Horsea Evolution Candy,images/pokemon/116.gif,116:Horsea;117:Seadra,true
118,Goldeen,118,118,118:Goldeen;119:Seaking,species-118,Goldeen,Goldeen Evolution Candy,images/pokemon/118.gif,118:Goldeen;119:Seaking,true
119,Seaking,118,118,118:Goldeen;119:Seaking,species-118,Goldeen,Goldeen Evolution Candy,images/pokemon/118.gif,118:Goldeen;119:Seaking,true
120,Staryu,120,120,120:Staryu;121:Starmie,species-120,Staryu,Staryu Evolution Candy,images/pokemon/120.gif,120:Staryu;121:Starmie,true
121,Starmie,120,120,120:Staryu;121:Starmie,species-120,Staryu,Staryu Evolution Candy,images/pokemon/120.gif,120:Staryu;121:Starmie,true
122,Mr. Mime,122,122,122:Mr. Mime,species-122,Mr. Mime,Mr. Mime Evolution Candy,images/pokemon/122.gif,122:Mr. Mime,true
123,Scyther,123,123,123:Scyther,species-123,Scyther,Scyther Evolution Candy,images/pokemon/123.gif,123:Scyther,true
124,Jynx,124,124,124:Jynx,species-124,Jynx,Jynx Evolution Candy,images/pokemon/124.gif,124:Jynx,true
125,Electabuzz,125,125,125:Electabuzz,species-125,Electabuzz,Electabuzz Evolution Candy,images/pokemon/125.gif,125:Electabuzz,true
126,Magmar,126,126,126:Magmar,species-126,Magmar,Magmar Evolution Candy,images/pokemon/126.gif,126:Magmar,true
127,Pinsir,127,127,127:Pinsir,species-127,Pinsir,Pinsir Evolution Candy,images/pokemon/127.gif,127:Pinsir,true
128,Tauros,128,128,128:Tauros,species-128,Tauros,Tauros Evolution Candy,images/pokemon/128.gif,128:Tauros,true
129,Magikarp,129,129,129:Magikarp;130:Gyarados,species-129,Magikarp,Magikarp Evolution Candy,images/pokemon/129.gif,129:Magikarp;130:Gyarados,true
130,Gyarados,129,129,129:Magikarp;130:Gyarados,species-129,Magikarp,Magikarp Evolution Candy,images/pokemon/129.gif,129:Magikarp;130:Gyarados,true
131,Lapras,131,131,131:Lapras,species-131,Lapras,Lapras Evolution Candy,images/pokemon/131.gif,131:Lapras,true
132,Ditto,132,132,132:Ditto,species-132,Ditto,Ditto Evolution Candy,images/pokemon/132.gif,132:Ditto,true
133,Eevee,133,133,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,species-133,Eevee,Eevee Evolution Candy,images/pokemon/133.gif,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,true
134,Vaporeon,133,133,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,species-133,Eevee,Eevee Evolution Candy,images/pokemon/133.gif,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,true
135,Jolteon,133,133,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,species-133,Eevee,Eevee Evolution Candy,images/pokemon/133.gif,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,true
136,Flareon,133,133,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,species-133,Eevee,Eevee Evolution Candy,images/pokemon/133.gif,133:Eevee;134:Vaporeon;135:Jolteon;136:Flareon,true
137,Porygon,137,137,137:Porygon,species-137,Porygon,Porygon Evolution Candy,images/pokemon/137.gif,137:Porygon,true
138,Omanyte,138,138,138:Omanyte;139:Omastar,species-138,Omanyte,Omanyte Evolution Candy,images/pokemon/138.gif,138:Omanyte;139:Omastar,true
139,Omastar,138,138,138:Omanyte;139:Omastar,species-138,Omanyte,Omanyte Evolution Candy,images/pokemon/138.gif,138:Omanyte;139:Omastar,true
140,Kabuto,140,140,140:Kabuto;141:Kabutops,species-140,Kabuto,Kabuto Evolution Candy,images/pokemon/140.gif,140:Kabuto;141:Kabutops,true
141,Kabutops,140,140,140:Kabuto;141:Kabutops,species-140,Kabuto,Kabuto Evolution Candy,images/pokemon/140.gif,140:Kabuto;141:Kabutops,true
142,Aerodactyl,142,142,142:Aerodactyl,species-142,Aerodactyl,Aerodactyl Evolution Candy,images/pokemon/142.gif,142:Aerodactyl,true
143,Snorlax,143,143,143:Snorlax,species-143,Snorlax,Snorlax Evolution Candy,images/pokemon/143.gif,143:Snorlax,true
144,Articuno,144,144,144:Articuno,species-144,Articuno,Articuno Evolution Candy,images/pokemon/144.gif,144:Articuno,true
145,Zapdos,145,145,145:Zapdos,species-145,Zapdos,Zapdos Evolution Candy,images/pokemon/145.gif,145:Zapdos,true
146,Moltres,146,146,146:Moltres,species-146,Moltres,Moltres Evolution Candy,images/pokemon/146.gif,146:Moltres,true
147,Dratini,147,147,147:Dratini;148:Dragonair;149:Dragonite,species-147,Dratini,Dratini Evolution Candy,images/pokemon/147.gif,147:Dratini;148:Dragonair;149:Dragonite,true
148,Dragonair,147,147,147:Dratini;148:Dragonair;149:Dragonite,species-147,Dratini,Dratini Evolution Candy,images/pokemon/147.gif,147:Dratini;148:Dragonair;149:Dragonite,true
149,Dragonite,147,147,147:Dratini;148:Dragonair;149:Dragonite,species-147,Dratini,Dratini Evolution Candy,images/pokemon/147.gif,147:Dratini;148:Dragonair;149:Dragonite,true
150,Mewtwo,150,150,150:Mewtwo,species-150,Mewtwo,Mewtwo Evolution Candy,images/pokemon/150.gif,150:Mewtwo,true
151,Mew,151,151,151:Mew,species-151,Mew,Mew Evolution Candy,images/pokemon/151.gif,151:Mew,true
